course_code,uc_code,title,ects,semester,year,language,prerequisites_count,learning_outcomes_count,topics_count,playlists_count
LDCOM,14541161,Caligrafia e Design Gráfico,4.0,4,,pt,1,3,0,1
LDCOM,14541026,Cultura Visual Contemporânea,3.0,5,,pt,0,3,0,1
LDCOM,14541142,Desenho,5.0,1,,pt,0,3,0,1
LDCOM,14541000,Design de Comunicação I,9.0,1,,pt,0,3,0,1
LDCOM,14541006,Design de Comunicação II,9.0,2,,pt,1,3,0,1
LDCOM,14541012,Design de Comunicação III,9.0,3,,pt,1,3,0,1
LDCOM,14541018,Design de Comunicação IV,9.0,4,,pt,1,3,0,1
LDCOM,14541158,Design de Comunicação V,10.0,5,,pt,1,3,0,1
LDCOM,14541025,Design de Multimédia e Interação,4.0,4,,pt,1,3,0,1
LDCOM,14541200,Didática das Artes Visuais,4.0,5,,pt,1,3,0,1
LDCOM,14541189,Fotografia Analógica,4.0,5,,pt,1,3,0,1
LDCOM,14541184,Fotografia I,4.0,3,,pt,0,3,0,1
LDCOM,14541185,Fotografia II,4.0,4,,pt,1,3,0,1
LDCOM,14541164,Geometria Descritiva,4.0,5,,pt,1,3,0,1
LDCOM,14541196,História da Arte Moderna e Contemporânea,3.0,1,,pt,0,3,0,1
LDCOM,14541154,História e Teorias do Design I,3.0,2,,pt,0,3,0,1
LDCOM,14541157,História e Teorias do Design II,3.0,3,,pt,1,3,0,1
LDCOM,14541145,Ilustração,4.0,3,,pt,1,3,0,1
LDCOM,14541187,Ilustração Digital em Design de Comunicação,4.0,4,,pt,1,3,0,1
LDCOM,14541166,Língua Estrangeira - Espanhol,4.0,5,,pt,0,3,0,1
LDCOM,14541165,Língua Estrangeira - Inglês,4.0,5,,pt,0,3,0,1
LDCOM,14541191,Marketing em Design de Comunicação,4.0,5,,pt,1,3,0,1
LDCOM,14541193,Modelação 3D em Design de Comunicação,4.0,5,,pt,1,3,0,1
LDCOM,14541198,Oficina e Técnicas de Impressão Digitais,4.0,5,,pt,1,3,0,1
LDCOM,14541195,Oficina de Técnicas de Impressão,4.0,4,,pt,1,3,0,1
LDCOM,14541181,Perceção e Composição Visual,3.0,1,,pt,0,3,0,1
LDCOM,14541197,Prática e Deontologia do Design,3.0,5,,pt,1,3,0,1
LDCOM,14541178,Princípios de Animação 3D,4.0,4,,pt,1,3,0,1
LDCOM,14541188,Produção 3D em Design de Comunicação,4.0,4,,pt,1,3,0,1
LDCOM,14541172,Produção e Edição de Vídeo,4.0,5,,pt,1,3,0,1
LDCOM,14541190,Produção Gráfica em Design de Comunicação,4.0,5,,pt,1,3,0,1
LDCOM,14541152,Projeto e Estágio Curricular,30.0,6,,pt,2,3,0,1
LDCOM,14541199,Realidade Virtual e Videomapping,4.0,5,,pt,1,3,0,1
LDCOM,14541028,Seminário,6.0,5,,pt,1,3,0,1
LDCOM,14541182,Técnicas Gráficas,5.0,2,,pt,0,3,0,1
LDCOM,14541194,Técnicas da Imagem em Movimento,4.0,4,,pt,1,3,0,1
LDCOM,14541183,Técnicas Multimédia,5.0,3,,pt,1,3,0,1
LDCOM,14541143,Tecnologias I,5.0,1,,pt,0,3,0,1
LDCOM,14541144,Tecnologias II,5.0,2,,pt,1,3,0,1
LDCOM,14541147,Tecnologias III,5.0,3,,pt,1,3,0,1
LDCOM,14541150,Tecnologias IV,5.0,4,,pt,1,3,0,1
LDCOM,14541156,Teorias da Imagem e Comunicação,3.0,2,,pt,0,3,0,1
LDCOM,14541153,Tipografia I,5.0,1,,pt,0,3,0,1
LDCOM,14541155,Tipografia II,5.0,2,,pt,1,3,0,1
